,bo_srm_xsd
276,0.351563
277,0.546875
278,0.585938
279,0.7226560000000001
280,0.664063
281,0.664063
282,0.664063
283,0.507813
284,0.410156
285,0.410156
286,0.410156
287,0.390625
288,0.390625
289,0.546875
290,0.546875
291,0.546875
292,0.546875
293,0.546875
294,0.546875
295,0.410156
296,0.371094
297,0.5273439999999999
298,0.371094
299,0.5664060000000001
300,0.46875
301,0.46875
302,0.390625
303,0.332031
304,0.449219
305,0.46875
306,0.46875
307,0.332031
308,0.332031
309,0.429688
310,0.429688
311,0.6054689999999999
312,0.6445310000000001
313,0.5273439999999999
314,0.5273439999999999
315,0.332031
316,0.410156
317,0.332031
318,0.332031
319,0.429688
320,0.429688
321,0.429688
322,0.5273439999999999
323,0.371094
324,0.371094
325,0.371094
326,0.449219
327,0.195313
328,0.351563
329,0.332031
330,0.410156
331,0.507813
332,0.507813
333,0.507813
334,0.488281
335,0.429688
336,0.429688
337,0.429688
338,0.429688
339,0.6054689999999999
340,0.625
341,0.625
342,0.625
343,0.429688
344,0.5273439999999999
345,0.429688
346,0.253906
347,0.332031
348,0.332031
349,0.3125
350,0.3125
351,0.5273439999999999
352,0.429688
353,0.5273439999999999
354,0.6835939999999999
355,0.7226560000000001
356,0.7226560000000001
357,0.7226560000000001
358,0.7226560000000001
359,0.585938
360,0.6835939999999999
361,0.5273439999999999
362,0.664063
363,0.6054689999999999
364,0.6054689999999999
365,0.6054689999999999
366,0.6835939999999999
367,0.6835939999999999
368,0.6835939999999999
369,0.703125
370,0.6835939999999999
371,0.703125
372,0.742188
373,0.878906
374,0.878906
375,0.703125
376,0.703125
377,0.546875
378,0.507813
379,0.5273439999999999
380,0.78125
381,0.7226560000000001
382,0.7226560000000001
383,0.839844
384,0.859375
385,0.859375
386,0.703125
387,0.664063
388,0.429688
389,0.429688
390,0.5273439999999999
391,0.7226560000000001
392,0.8007810000000001
393,0.703125
394,0.625
395,0.5273439999999999
396,0.703125
397,0.7226560000000001
398,0.6835939999999999
399,0.78125
400,0.78125
401,0.78125
402,0.78125
403,0.839844
404,1.0546879999999998
405,0.996094
406,0.7617189999999999
407,0.8007810000000001
408,0.8007810000000001
409,0.8007810000000001
410,0.585938
411,0.546875
412,0.292969
413,0.234375
414,0.234375
415,0.234375
416,0.234375
417,0.371094
418,0.507813
419,0.625
420,0.488281
421,0.546875
422,0.507813
423,0.5273439999999999
424,0.5273439999999999
425,0.371094
426,0.332031
427,0.429688
428,0.429688
429,0.410156
430,0.585938
431,0.585938
432,0.585938
433,0.585938
434,0.585938
435,0.546875
436,0.46875
437,0.410156
438,0.488281
439,0.371094
440,0.5273439999999999
441,0.488281
442,0.585938
443,0.6445310000000001
444,0.46875
445,0.46875
446,0.585938
447,0.7617189999999999
448,0.625
449,0.6054689999999999
450,0.6054689999999999
451,0.449219
452,0.273438
453,0.234375
454,0.234375
455,0.332031
456,0.332031
457,0.429688
458,0.6054689999999999
459,0.78125
460,0.703125
461,0.5664060000000001
462,0.507813
463,0.488281
